PartName,SizeToAxisX,SizeToAxisY,SizeToAxisZ,CenterPointX,CenterPointY,CenterPointZ,MinPointX,MinPointY,MinPointZ,MaxPointX,MaxPointY,MaxPointZ
part1.STEP,435.41,410,10,0,0,5,-217.71,-205,0,217.71,205,10
hole_num,CenterX,CenterY,CenterZ,NormalX,NormalY,NormalZ,Radius,height,through,type,direction,
0,-79,165.77,0,0,0,1,3.5,10,FALSE,hole,left,
1,79,165.77,0,0,0,1,3.5,10,FALSE,hole,right,
2,-111,-161.61,0,0,0,1,3.5,10,FALSE,hole,left,
3,111,-161.61,0,0,0,1,3.5,10,FALSE,hole,right,
