PartName,SizeToAxisX,SizeToAxisY,SizeToAxisZ,CenterPointX,CenterPointY,CenterPointZ,MinPointX,MinPointY,MinPointZ,MaxPointX,MaxPointY,MaxPointZ
part3.STEP,270,50,20,0,0,10,-135,-25,0,135,25,20
hole_num,CenterX,CenterY,CenterZ,NormalX,NormalY,NormalZ,Radius,height,through,type,direction,
0,-135,-16,10,1,0,0,4,23,FALSE,hole,left,
1,135,-16,10,-1,0,0,4,23,FALSE,hole,right,
2,-135,0,10,1,0,0,2.5,23,FALSE,hole,left,
3,135,0,10,-1,0,0,2.5,23,FALSE,hole,right,
4,-135,16,10,1,0,0,4,23,FALSE,hole,left,
5,135,16,10,-1,0,0,4,23,FALSE,hole,right,
6,-80,-14.5,20,0,0,-1,3,13,FALSE,hole,top,
7,80,-14.5,20,0,0,-1,3,13,FALSE,hole,top,
