PartName,SizeToAxisX,SizeToAxisY,SizeToAxisZ,CenterPointX,CenterPointY,CenterPointZ,MinPointX,MinPointY,MinPointZ,MaxPointX,MaxPointY,MaxPointZ
C101350.STEP,8,8,30,0,0,15,-4,-4,0,4,4,30
pin_num,CenterFrom_X,CenterFrom_Y,CenterFrom_Z,CenterTo_X,CenterTo_Y,CenterTo_Z,CenterAxisDir_X,CenterAxisDir_Y,CenterAxisDir_Z,Radius,type,
0,0,0,0,0,0,30,0,0,1,4,pin,
